Comapny Name,Total ESG Risk Score,Environmental Risk Score,Social Risk Score,Governance Risk Score,Controversy Level
ON Semiconductor Corporation (ON),22,11.8,5.7,4.9,1
Oracle Corporation (ORCL),14,0.5,7.8,5.6,2
Old Republic International Corporation (ORI),28,2.4,10.8,15.1,1
"O'Reilly Automotive, Inc. (ORLY)",12,0.1,8.1,3.8,1
Open Text Corporation (OTEX),18,4.8,7.9,4.9,1
Occidental Petroleum Corporation (OXY),42,25.0,9.7,7.0,2
"Palo Alto Networks, Inc. (PANW)",14,0.7,7.6,5.6,1
Paramount Global (PARA),15,0.1,7.5,7.4,3
Paramount Global (PARAA),15,0.1,8.1,7.1,3
"Paychex, Inc. (PAYX)",17,3.2,7.2,6.4,1
Pembina Pipeline Corporation (PBA),21,10.6,6.9,3.3,1
PACCAR Inc (PCAR),28,8.4,11.0,8.3,3
PG&E Corporation (PCG),30,9.6,15.4,5.4,4
Public Service Enterprise Group Incorporated (PEG),27,12.5,9.3,5.5,2
"PepsiCo, Inc. (PEP)",22,7.3,9.6,5.2,3
Pfizer Inc. (PFE),25,2.1,12.9,9.6,3
"Principal Financial Group, Inc. (PFG)",14,0.8,5.8,7.6,1
The Procter & Gamble Company (PG),29,9.6,12.2,6.7,3
The Progressive Corporation (PGR),20,1.5,8.5,10.1,2
Parker-Hannifin Corporation (PH),29,9.5,13.8,6.2,2
"PulteGroup, Inc. (PHM)",21,9.2,7.3,4.9,2
Polaris Inc. (PII),12,1.3,6.7,4.3,2
Packaging Corporation of America (PKG),19,14.0,1.1,3.6,1
"Prologis, Inc. (PLD)",10,2.7,2.5,5.0,1
Philip Morris International Inc. (PM),28,3.4,13.5,11.5,3
"The PNC Financial Services Group, Inc. (PNC)",26,1.9,13.3,10.8,3
Pentair plc (PNR),22,6.0,10.0,6.1,1
Pinnacle West Capital Corporation (PNW),31,14.7,10.2,5.8,1
"PPG Industries, Inc. (PPG)",25,11.0,7.7,6.5,2
PPL Corporation (PPL),31,17.1,8.9,5.3,2
Perrigo Company plc (PRGO),36,3.4,21.4,11.6,2
"Prudential Financial, Inc. (PRU)",20,0.6,10.0,9.3,1
Public Storage (PSA),13,4.7,2.6,5.7,1
Phillips 66 (PSX),35,20.8,8.8,5.8,3
PTC Inc. (PTC),19,4.9,8.6,5.4,0
PVH Corp. (PVH),16,1.3,9.7,5.0,3
"Quanta Services, Inc. (PWR)",37,12.1,15.7,9.0,2
,,,,,
"PayPal Holdings, Inc. (PYPL)",18,2.8,9.2,5.8,2
QUALCOMM Incorporated (QCOM),15,5.3,4.5,5.6,3
Qiagen N.V. (QGEN),14,1.6,6.0,6.6,2
"Qorvo, Inc. (QRVO)",29,12.3,8.5,7.7,0
Restaurant Brands International Inc. (QSR),23,7.2,11.3,5.0,3
Ferrari N.V. (RACE),25,5.9,12.3,6.6,2
Rogers Communications Inc. (RCI),23,4.4,11.8,7.0,3
Royal Caribbean Cruises Ltd. (RCL),21,8.1,7.7,4.9,3
Regency Centers Corporation (REG),12,3.7,3.2,4.8,0
"Regeneron Pharmaceuticals, Inc. (REGN)",18,0.3,11.0,6.7,2
Regions Financial Corporation (RF),17,1.8,6.7,8.4,2
"Reinsurance Group of America, Incorporated (RGA)",23,2.7,8.1,12.2,0
Robert Half Inc. (RHI),11,0.1,7.4,3.4,1
Transocean Ltd. (RIG),25,,,,2
"Raymond James Financial, Inc. (RJF)",27,2.3,11.2,13.4,2
Ralph Lauren Corporation (RL),15,1.2,7.8,5.6,2
ResMed Inc. (RMD),26,3.5,12.4,10.4,1
RenaissanceRe Holdings Ltd. (RNR),23,2.5,9.0,11.2,0
"Rockwell Automation, Inc. (ROK)",18,5.4,6.6,5.7,2
"Rollins, Inc. (ROL)",19,1.8,10.6,6.9,1
"Roper Technologies, Inc. (ROP)",20,4.7,9.7,6.1,0
"Ross Stores, Inc. (ROST)",18,1.8,10.8,5.7,2
RPM International Inc. (RPM),33,16.0,9.2,7.7,1
Range Resources Corporation (RRC),45,25.3,9.7,9.9,2
"Reliance, Inc. (RS)",20,7.2,7.1,5.4,0
"Republic Services, Inc. (RSG)",21,11.2,6.0,3.7,3
"Revvity, Inc. (RVTY)",17,0.8,10.1,5.8,2
Royal Bank of Canada (RY),24,1.9,13.6,8.9,3
Sabre Corporation (SABR),23,1.2,13.9,7.6,2
EchoStar Corporation (SATS),27,,,,0
SBA Communications Corporation (SBAC),12,3.1,3.2,5.2,0
Starbucks Corporation (SBUX),25,5.8,14.6,4.3,3
Southern Copper Corporation (SCCO),27,12.9,8.7,5.9,3
The Charles Schwab Corporation (SCHW),23,2.4,8.9,11.9,2
Service Corporation International (SCI),16,0.1,10.0,5.7,2
Sealed Air Corporation (SEE),16,12.0,1.2,2.9,1
SEI Investments Company (SEIC),19,1.0,8.1,9.7,1
The Sherwin-Williams Company (SHW),29,14.3,9.2,5.8,2
Signet Jewelers Limited (SIG),15,,,,2
Sirius XM Holdings Inc. (SIRI),16,0.1,8.0,8.1,2
SITE Centers Corp. (SITC),14,,,,0
Six Flags Entertainment Corporation (SIX),26,12.6,9.2,3.8,2
The J. M. Smucker Company (SJM),30,12.9,12.0,5.6,2
Schlumberger Limited (SLB),20,8.1,6.3,5.9,1
Sun Life Financial Inc. (SLF),14,0.5,7.1,6.3,1
SL Green Realty Corp. (SLG),13,2.7,2.9,7.2,1
SLM Corporation (SLM),22,0.1,11.7,10.6,0
The Scotts Miracle-Gro Company (SMG),38,15.8,11.7,10.3,2
Snap-on Incorporated (SNA),31,9.0,13.9,7.6,2
"Synopsys, Inc. (SNPS)",14,3.3,6.9,4.2,0
Synovus Financial Corp. (SNV),24,2.2,10.2,11.8,2
The Southern Company (SO),33,14.7,11.0,7.3,2
Sonoco Products Company (SON),21,15.8,2.2,3.4,1
"Simon Property Group, Inc. (SPG)",14,3.8,4.0,6.2,1
S&P Global Inc. (SPGI),13,0.0,6.2,6.8,1
"Spirit AeroSystems Holdings, Inc. (SPR)",32,11.2,11.6,9.4,2
"Block, Inc. (SQ)",20,1.1,11.1,7.6,2
"Stericycle, Inc. (SRCL)",27,15.1,9.3,2.9,2
Sempra (SRE),24,10.9,7.8,4.9,2
"SS&C Technologies Holdings, Inc. (SSNC)",22,4.8,11.4,6.0,1
Sensata Technologies Holding plc (ST),11,3.7,3.2,4.5,2
"Steel Dynamics, Inc. (STLD)",33,10.6,14.4,8.1,1
State Street Corporation (STT),24,1.6,12.9,9.5,1
Seagate Technology Holdings plc (STX),11,1.6,3.8,5.3,1
"Constellation Brands, Inc. (STZ)",25,9.4,10.0,5.2,2
Suncor Energy Inc. (SU),32,20.6,6.7,4.8,3
Service Properties Trust (SVC),13,,,,0
"Stanley Black & Decker, Inc. (SWK)",25,5.0,12.5,7.8,2
"Skyworks Solutions, Inc. (SWKS)",28,11.8,8.9,7.2,1
Synchrony Financial (SYF),17,0.1,9.9,7.3,2
Stryker Corporation (SYK),28,4.0,13.2,11.0,2
Sysco Corporation (SYY),16,5.4,6.1,4.5,2
AT&T Inc. (T),24,3.3,13.9,6.7,3
TAL Education Group (TAL),18,0.1,10.6,7.7,2
Molson Coors Beverage Company (TAP),21,7.3,8.6,5.5,2
Trip.com Group Limited (TCOM),23,2.5,11.0,9.8,2
The Toronto-Dominion Bank (TD),20,0.5,9.7,9.5,3
TransDigm Group Incorporated (TDG),39,12.0,17.7,9.0,2
Teck Resources Limited (TECK),21,10.1,6.7,3.6,3
"Telefónica, S.A. (TEF)",17,1.6,9.2,6.6,2
TE Connectivity Ltd. (TEL),15,5.8,4.4,4.6,0
"Teradyne, Inc. (TER)",17,7.1,4.9,5.0,0
Teleflex Incorporated (TFX),30,4.8,16.1,8.7,2
TEGNA Inc. (TGNA),15,,,,2
Target Corporation (TGT),14,1.9,7.6,4.9,3
"THOR Industries, Inc. (THO)",27,5.9,14.9,5.7,0
"The TJX Companies, Inc. (TJX)",14,1.9,7.7,4.8,2
Thermo Fisher Scientific Inc. (TMO),13,1.4,4.9,6.5,3
"T-Mobile US, Inc. (TMUS)",25,4.2,13.4,7.1,3
Travel + Leisure Co. (TNL),25,9.5,11.2,4.1,2
"Toll Brothers, Inc. (TOL)",23,9.6,7.8,5.1,2
"Tapestry, Inc. (TPR)",15,1.1,8.6,5.2,2
Targa Resources Corp. (TRGP),33,14.2,14.8,4.2,2
Thomson Reuters Corporation (TRI),15,0.0,8.0,6.5,2
"Tripadvisor, Inc. (TRIP)",25,1.1,14.9,8.9,2
Trimble Inc. (TRMB),12,3.8,3.4,5.2,0
"T. Rowe Price Group, Inc. (TROW)",17,2.4,8.9,5.6,1
TC Energy Corporation (TRP),23,10.4,10.1,3.0,3
"The Travelers Companies, Inc. (TRV)",20,1.0,9.3,10.0,1
Tractor Supply Company (TSCO),16,3.4,8.2,4.5,2
"Tesla, Inc. (TSLA)",25,3.3,14.1,7.8,3
"Tyson Foods, Inc. (TSN)",36,14.0,12.4,9.5,4
Trane Technologies plc (TT),15,4.4,5.7,5.1,2
The Toro Company (TTC),21,5.4,9.4,6.4,1
TELUS Corporation (TU),17,3.4,10.6,3.4,2
Texas Instruments Incorporated (TXN),21,7.8,6.0,6.9,2
Textron Inc. (TXT),34,10.9,16.1,6.6,2
Tortoise Energy Infrastructure Corporation (TYG),32,,,,
"Under Armour, Inc. (UAA)",16,1.8,8.5,6.0,2
"United Airlines Holdings, Inc. (UAL)",29,10.8,12.8,5.0,2
UBS Group AG (UBS),28,1.0,12.5,14.7,4
"UDR, Inc. (UDR)",14,3.7,3.9,6.3,1
UGI Corporation (UGI),32,12.5,13.3,5.8,2
U-Haul Holding Company (UHAL),23,6.6,9.2,7.3,1
"Universal Health Services, Inc. (UHS)",33,3.7,20.7,8.6,3
"Ulta Beauty, Inc. (ULTA)",16,4.1,7.3,4.3,2
UnitedHealth Group Incorporated (UNH),15,0.0,9.7,5.6,3
Unum Group (UNM),17,0.8,8.9,7.7,1
Union Pacific Corporation (UNP),23,7.3,10.6,5.6,2
"United Parcel Service, Inc. (UPS)",19,4.2,8.9,5.5,2
"United Rentals, Inc. (URI)",17,5.3,6.1,5.4,1
U.S. Bancorp (USB),30,1.8,15.5,13.0,3
United Therapeutics Corporation (UTHR),22,1.4,13.8,7.1,2
Visa Inc. (V),17,1.8,8.2,6.7,3
V.F. Corporation (VFC),14,0.8,8.2,5.0,2
Vipshop Holdings Limited (VIPS),24,7.3,8.0,8.2,2
Valero Energy Corporation (VLO),33,20.1,7.4,5.0,2
Vulcan Materials Company (VMC),29,13.4,6.8,9.1,2
Vornado Realty Trust (VNO),14,3.1,4.2,7.0,1
"Voya Financial, Inc. (VOYA)",18.4,1.6,7.8,9.0,2
"Verisk Analytics, Inc. (VRSK)",18,0.1,12.5,5.0,1
"VeriSign, Inc. (VRSN)",21,4.7,10.8,5.8,1
Vertex Pharmaceuticals Incorporated (VRTX),23,0.8,15.4,6.6,2
"Ventas, Inc. (VTR)",13,3.4,3.9,5.6,0
Verizon Communications Inc. (VZ),19,3.7,9.6,5.4,3
Westinghouse Air Brake Technologies Corporation (WAB),23,5.4,12.0,6.0,2
Waters Corporation (WAT),15,1.4,8.2,5.1,0
"Walgreens Boots Alliance, Inc. (WBA)",16,1.8,9.3,5.2,3
"Waste Connections, Inc. (WCN)",22,11.0,7.7,3.3,1
"Workday, Inc. (WDAY)",17,4.0,6.6,6.6,1
Western Digital Corporation (WDC),11,1.5,3.9,6.1,2
"WEC Energy Group, Inc. (WEC)",27,13.4,9.0,5.1,1
Welltower Inc. (WELL),13,4.2,3.5,5.5,1
Wells Fargo & Company (WFC),36,2.0,14.8,19.4,5
Weatherford International plc (WFRD),22,,,,0
Whirlpool Corporation (WHR),16,4.6,7.1,4.4,2
Westlake Corporation (WLK),29,17.9,3.2,8.3,2
"Waste Management, Inc. (WM)",17,8.1,5.2,3.3,2
"The Williams Companies, Inc. (WMB)",22,8.7,10.1,3.0,2
Walmart Inc. (WMT),25,5.9,12.4,7.1,3
W. P. Carey Inc. (WPC),16,4.2,5.0,6.5,0
Wheaton Precious Metals Corp. (WPM),7,0.1,2.7,4.6,0
W. R. Berkley Corporation (WRB),22,2.0,7.9,11.9,1
"Essential Utilities, Inc. (WTRG)",25,6.8,11.4,6.4,1
Willis Towers Watson Public Limited Company (WTW),19,0.1,7.8,10.8,2
The Western Union Company (WU),15,4.4,6.0,4.9,1
Weyerhaeuser Company (WY),17,9.1,4.2,3.5,2
"Wynn Resorts, Limited (WYNN)",26,3.4,11.8,10.6,2
United States Steel Corporation (X),30,14.5,9.7,6.2,3
Xcel Energy Inc. (XEL),26,12.7,9.3,4.5,2
Exxon Mobil Corporation (XOM),42,23.1,10.0,8.5,3
DENTSPLY SIRONA Inc. (XRAY),15,2.1,6.5,6.3,1
Xylem Inc. (XYL),18,4.3,8.7,5.2,1
"Yum! Brands, Inc. (YUM)",20,4.5,11.4,4.1,2
"Zillow Group, Inc. (Z)",22,1.2,11.5,9.5,2
"Zimmer Biomet Holdings, Inc. (ZBH)",26.0,3.6,14.5,7.9,2
Zoetis Inc. (ZTS),19,3.2,6.8,8.7,2
